title,content,url,timestamp,tags
 【斥资10亿美元救“蛋荒”，美农业部公布“降低鸡蛋价格”全面计划】 当地时间2月26日，美国白宫发布声明称，美国农业部长罗林斯当日列出了特朗普政府降低鸡蛋价格的全面计划。罗林斯表示，拜登政府几乎没有采取任何措施来应对反复爆发的禽流感疫情和随后的高鸡蛋价格。相比之下，特朗普政府正在认真对待这个问题。为此，美国农业部将投入高达10亿美元来遏制这场危机。美国农业部正在与“政府效率部”合作，削减数亿美元的浪费性支出，农业部将重新利用其中的一些资金，投资于禽流感的长期解决方案。 （央视新闻）, 【斥资10亿美元救“蛋荒”，美农业部公布“降低鸡蛋价格”全面计划】 当地时间2月26日，美国白宫发布声明称，美国农业部长罗林斯当日列出了特朗普政府降低鸡蛋价格的全面计划。罗林斯表示，拜登政府几乎没有采取任何措施来应对反复爆发的禽流感疫情和随后的高鸡蛋价格。相比之下，特朗普政府正在认真对待这个问题。为此，美国农业部将投入高达10亿美元来遏制这场危机。美国农业部正在与“政府效率部”合作，削减数亿美元的浪费性支出，农业部将重新利用其中的一些资金，投资于禽流感的长期解决方案。 （央视新闻）,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuet3454947.shtml,2025-02-27 10:17:30,['国际']
"【韩国将从下半年起收紧家庭借贷规则 以控制债务增长】 在市场预期韩国央行将进一步放松货币政策之际，韩国金融委员会(FSC)周四表示，韩国将从今年下半年开始收紧借贷规则，以控制家庭债务增长。FSC表示，自 7 月起，将收紧“压力债务偿还比率”。该比率在确定家庭可借贷金额时考虑了借贷成本波动的风险。该规则于 2024 年 2 月首次推出，并于 9 月收紧，以控制韩国的家庭债务增长。韩国是亚洲第四大经济体，也是世界上债务负担最多的经济体之一。FSC在一份声明中表示：“在复杂的宏观经济条件和房地产市场前景下，有必要对家庭债务管理保持一致和坚定的立场。”截至2024年底，韩国家庭债务为1,927.3万亿韩元（1.34万亿美元），同比增长2.2%，为两年半以来的最快增幅。","【韩国将从下半年起收紧家庭借贷规则 以控制债务增长】 在市场预期韩国央行将进一步放松货币政策之际，韩国金融委员会(FSC)周四表示，韩国将从今年下半年开始收紧借贷规则，以控制家庭债务增长。FSC表示，自 7 月起，将收紧“压力债务偿还比率”。该比率在确定家庭可借贷金额时考虑了借贷成本波动的风险。该规则于 2024 年 2 月首次推出，并于 9 月收紧，以控制韩国的家庭债务增长。韩国是亚洲第四大经济体，也是世界上债务负担最多的经济体之一。FSC在一份声明中表示：“在复杂的宏观经济条件和房地产市场前景下，有必要对家庭债务管理保持一致和坚定的立场。”截至2024年底，韩国家庭债务为1,927.3万亿韩元（1.34万亿美元），同比增长2.2%，为两年半以来的最快增幅。",https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuep8083769.shtml,2025-02-27 10:17:02,"['央行', '国际']"
【特斯拉FSD入华与美版不同，为何价格更高？】特斯拉于25日宣布，将为中国客户分批次更新软件，升级内容包括城市道路Autopilot自动辅助驾驶、驾驶室摄像头及地图包更新。不过，特斯拉官方客服和销售均明确表示，此次更新后的功能并不能与美国版的FSD画等号。“升级后的功能主要体现在城市NOA（领航辅助驾驶）上，目前暂不支持美国版本的车位到车位功能，因此特斯拉中国在‘FSD’后面加上了‘智能辅助驾驶’。”中国一家智驾公司相关负责人表示。既然功能打了折扣，为何FSD智能辅助驾驶功能在收费高于海外市场？特斯拉美国官网显示，FSD的买断费用为8000美元（约5.8万元人民币），而中国市场的FSD智能辅助驾驶功能收费标准为6.4万元。对此，特斯拉中国客服表示，由于中国政策法规体系及功能本土化适配需求与海外市场呈现明显区别，FSD智能辅助驾驶功能在中国市场的定价始终维持在6.4万元。（中新经纬）,【特斯拉FSD入华与美版不同，为何价格更高？】特斯拉于25日宣布，将为中国客户分批次更新软件，升级内容包括城市道路Autopilot自动辅助驾驶、驾驶室摄像头及地图包更新。不过，特斯拉官方客服和销售均明确表示，此次更新后的功能并不能与美国版的FSD画等号。“升级后的功能主要体现在城市NOA（领航辅助驾驶）上，目前暂不支持美国版本的车位到车位功能，因此特斯拉中国在‘FSD’后面加上了‘智能辅助驾驶’。”中国一家智驾公司相关负责人表示。既然功能打了折扣，为何FSD智能辅助驾驶功能在收费高于海外市场？特斯拉美国官网显示，FSD的买断费用为8000美元（约5.8万元人民币），而中国市场的FSD智能辅助驾驶功能收费标准为6.4万元。对此，特斯拉中国客服表示，由于中国政策法规体系及功能本土化适配需求与海外市场呈现明显区别，FSD智能辅助驾驶功能在中国市场的定价始终维持在6.4万元。（中新经纬）,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuep8082933.shtml,2025-02-27 10:15:29,"['公司', '国际']"
据哈马斯消息人士及埃及媒体报道，97名巴勒斯坦囚犯已被移交给埃及。,据哈马斯消息人士及埃及媒体报道，97名巴勒斯坦囚犯已被移交给埃及。,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuet3453748.shtml,2025-02-27 10:15:02,['国际']
【乌克兰首都基辅多次响起爆炸声】 当地时间27日，乌克兰首都基辅多次响起爆炸声。（央视新闻）,【乌克兰首都基辅多次响起爆炸声】 当地时间27日，乌克兰首都基辅多次响起爆炸声。（央视新闻）,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuet3453113.shtml,2025-02-27 10:13:14,['国际']
【光伏行业协会王勃华：预测2025年全球光伏新增装机同比增长10%】在今日举行的光伏行业2024年发展回顾与2025年形势展望研讨会上，中国光伏行业协会名誉理事长王勃华表示，全球光伏装机将继续保持增长。2024年全球光伏新增装机同比增长约35.9%，2024年全球主要光伏市场均保持不少于15%的增速。预测乐观情况下，2025年全球光伏新增装机同比增长10%。新兴市场需求增长，如中东等发展迅猛。,【光伏行业协会王勃华：预测2025年全球光伏新增装机同比增长10%】在今日举行的光伏行业2024年发展回顾与2025年形势展望研讨会上，中国光伏行业协会名誉理事长王勃华表示，全球光伏装机将继续保持增长。2024年全球光伏新增装机同比增长约35.9%，2024年全球主要光伏市场均保持不少于15%的增速。预测乐观情况下，2025年全球光伏新增装机同比增长10%。新兴市场需求增长，如中东等发展迅猛。,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuet3452409.shtml,2025-02-27 10:11:42,"['观点', '国际']"
路透调查：到2025年年中，印度Nifty 50指数将升至24000点，到2025年年底升至25689点（11月调查时为25300点和26500点）。,路透调查：到2025年年中，印度Nifty 50指数将升至24000点，到2025年年底升至25689点（11月调查时为25300点和26500点）。,,2025-02-27 10:09:21,['国际']
路透调查：到2025年年中，印度孟买证券交易所（BSE） SENSEX 30指数（SENSEX）将升至78500点；到2025年底升至80850点（11月调查时预测为83900点和87450点）。,路透调查：到2025年年中，印度孟买证券交易所（BSE） SENSEX 30指数（SENSEX）将升至78500点；到2025年底升至80850点（11月调查时预测为83900点和87450点）。,,2025-02-27 10:08:57,['国际']
【巴方消息证实移交4具以方被扣押人员遗体】巴勒斯坦消息人士27日说，巴勒斯坦伊斯兰抵抗运动（哈马斯）于26日夜间至27日凌晨在加沙地带将4具以方被扣押人员遗体移交给红十字国际委员会。这名消息人士告诉新华社记者，被扣押人员遗体将经由加沙地带南部的凯雷姆沙洛姆口岸离开加沙地带。（新华社）,【巴方消息证实移交4具以方被扣押人员遗体】巴勒斯坦消息人士27日说，巴勒斯坦伊斯兰抵抗运动（哈马斯）于26日夜间至27日凌晨在加沙地带将4具以方被扣押人员遗体移交给红十字国际委员会。这名消息人士告诉新华社记者，被扣押人员遗体将经由加沙地带南部的凯雷姆沙洛姆口岸离开加沙地带。（新华社）,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuet3448352.shtml,2025-02-27 10:03:45,['国际']
【星链或取代Verizon，为美国FAA升级空域系统基础设施】 据多家媒体2月26日消息，美国联邦航空管理局（FAA）将取消此前与Verizon达成的电信网络基础设施协议，转而将合同授予SpaceX旗下星链。多名知情人士透露，美国FAA的设施中已安装星链设备。美国FAA本周早些时候发布声明，确认本周会在大西洋城设施中测试一台星链终端，并在阿拉斯加的“非安全关键地点”测试两台终端。马斯克正推动对美国空中交通通信系统实施现代化改造，此前，他在社媒平台X发文称“Verizon的系统无法正常工作，对航空旅客构成严重风险”。,【星链或取代Verizon，为美国FAA升级空域系统基础设施】 据多家媒体2月26日消息，美国联邦航空管理局（FAA）将取消此前与Verizon达成的电信网络基础设施协议，转而将合同授予SpaceX旗下星链。多名知情人士透露，美国FAA的设施中已安装星链设备。美国FAA本周早些时候发布声明，确认本周会在大西洋城设施中测试一台星链终端，并在阿拉斯加的“非安全关键地点”测试两台终端。马斯克正推动对美国空中交通通信系统实施现代化改造，此前，他在社媒平台X发文称“Verizon的系统无法正常工作，对航空旅客构成严重风险”。,https://finance.sina.com.cn/7x24/2025-02-27/doc-inemwuet3444564.shtml,2025-02-27 09:55:23,['国际']
